City,Industry,Company Name,Company Type,Company Size,Job Title,Education level,Years of Industry Experience,Annual Base Salary,Compensation - Annual Target Bonus ($),Annual Target Bonus ($),Sign on Bonus Value,Relocation Assistance,Country,Overtime Rate,Year,Annual Equity,Retirement Benefits,Healthcare Benefits,Most recent annual yearly raise (%),Country,Where are you located?,US State,Canadian Province,Role type,Work from home days per week,Annual Target Bonus (%),Commission,Sign on Bonus,Sign on Equity Options,Years at current position,Currency,City_cleaned,State_inferred
"san antonio, texas",Animal research (government),,Government,200-1000,Research associate,Bachelors or Equivalent,3,40000,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,"San Antonio, Texas",
chicagoland,Pharma,,Public,5000+,QC Supervisor,Bachelors or Equivalent,12,98500,7000,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Chicagoland,
rtp,Medical testing ,,Private,5000+,Associate Chemist ,Bachelors or Equivalent,6,49920,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Rtp,
research triangle park,Medical testing ,,Private,5000+,Research Associate II,Bachelors or Equivalent,6,70000,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Research Triangle Park,
santa barbara,Pharma,A,Public,5000+,QC Analyst I,Bachelors or Equivalent,5,72300,10,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Santa Barbara,
st. louis,Pharma,,Public,5000+,Senior scientist ,PhD or Equivalent,1,108000,7020,Not Applicable/None,5000,,,,2022,,,,,,,,,,,,,,,,,St. Louis,
seattle,Pharma,Roche,Public,5000+,Senior Research Associate ,Bachelors or Equivalent,4,95000,5000,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Seattle,Washington
boston,Medical Devices,,Private,Jan-50,Applications Engineer,PhD or Equivalent,2,106200,10620,Not Applicable/None,3000,4000,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
maryland,Pharma,,Private,Jan-50,Scientist I,PhD or Equivalent,1,95000,10%,Not Applicable/None,2500,,,,2022,,,,,,,,,,,,,,,,,Maryland,
philadelphia,Academia/Research,,Academia/College/Universities,1000-5000,Research Associate III,Masters or Equivalent,15,56182,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Philadelphia,Pennsylvania
boston,Pharma,,Public,5000+,Senior Scientist ,PhD or Equivalent,3,127000,15%,7%,0,0,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
boston,Pharma,,Private,50-200,Senior Scientist,PhD or Equivalent,1,144000,20%,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
new york,Pharma,,Start-up,Jan-50,Associate Project Manager,Bachelors or Equivalent,1,82350,8235,Not Applicable/None,3000,,,,2022,,,,,,,,,,,,,,,,,New York,New York
pennsylvania,Pharma,,Public,5000+,Senior Manager,PhD or Equivalent,8,140000,25000,33000,,,,,2022,,,,,,,,,,,,,,,,,Pennsylvania,
washington dc,Pharma,GSK,Public,5000+,Production Associate Director,Bachelors or Equivalent,16,148000,18%,"$35,000 ",,,,,2022,,,,,,,,,,,,,,,,,Washington Dc,
florida,Academia/Research,,Academia/College/Universities,5000+,Lab Tech,Bachelors or Equivalent,2,31200,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Florida,
boston,"I’m in flavors and fragrances department, but we also have nutraceuticals and biologics at the company. ",Conagen,Private,50-200,"Scientist II, Strain Development",PhD or Equivalent,2,85000,1300,Not Applicable/None,,5000,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
"houston, tx",Pharma,Immatics,Public,200-1000,Senior Manufacturing Associate ,Bachelors or Equivalent,6,81180,9741,3000,,,,,2022,,,,,,,,,,,,,,,,,Houston,Texas
bay area,Pharma,Startup ,Public,50-200,Science II,Bachelors or Equivalent,6,135000,20000,5000,,,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
san diego,Pharma,,Public,200-1000,Senior Research Associates  ,Bachelors or Equivalent,4,90000,20%,RSU  yearly  ,10000,,,,2022,,,,,,,,,,,,,,,,,San Diego,California
san diego,Medical Devices,,Public,200-1000,Biochemist I,Bachelors or Equivalent,1,58000,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,San Diego,California
carlsbad,Medical Devices,Thermo Fisher,Public,5000+,Scientist II,Bachelors or Equivalent,7,75000,5625,Not Applicable/None,5000,,,,2022,,,,,,,,,,,,,,,,,Carlsbad,
midwest,Pharma,,Start-up,50-200,VP,PhD or Equivalent,15,265000,60000,250000,100000,60000,,,2022,,,,,,,,,,,,,,,,,Midwest,
"houston, tx",Academia/Research,,Academia/College/Universities,5000+,Staff Scientist,PhD or Equivalent,6,56000,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Houston,Texas
"sacramento, ca",Academia/Research,UC Davis,Academia/College/Universities,5000+,SRA II (Lab Manager/Research Coordinator),Masters or Equivalent,1,55000,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Sacramento,
toronto,Pharma,,Start-up,Jan-50,Scientist,PhD or Equivalent,4,90000,10000,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Toronto,
san diego,Pharma,,Start-up,50-200,Senior Research Associate II,Bachelors or Equivalent,6,93000,9300,Not Applicable/None,0,0,,,2022,,,,,,,,,,,,,,,,,San Diego,California
los angeles,Pharma,,Private,50-200,"Vice President, Business Development",Masters or Equivalent,11,230000,150000,100000,50000,,,,2022,,,,,,,,,,,,,,,,,Los Angeles,California
uk,Pharma,Novo Nordisk,Public,5000+,Lab Coordinator/tech,Associate’s Degree or Equivalent,3,31200,3120,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Uk,
uk,Pharma,Evotec,Public,1000-5000,Research associate ,Associate’s Degree or Equivalent,4,30000,1500,Not Applicable/None,500,,,,2022,,,,,,,,,,,,,,,,,Uk,
"bloomington, in, usa",Pharma,Catalent,Public,5000+,Scientist,PhD or Equivalent,4,93000,Not Applicable/None,Not Applicable/None,3000,,,,2022,,,,,,,,,,,,,,,,,"Bloomington, In, Usa",
rtp,Pharma,Novartis ,Public,5000+,Specialist I,Bachelors or Equivalent,3,88000,7000,Not Applicable/None,7000,,,,2022,,,,,,,,,,,,,,,,,Rtp,
bay area,Pharma,,Subsidiary,50-200,Research Associate ,Bachelors or Equivalent,1,70000,7000,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
"ny, ny",Pharma,,Private,5000+,Associate Scientist,Bachelors or Equivalent,4,70000,8000,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Ny,
netherlands,Medical Devices,,Private,50-200,Molecular Biologist,Bachelors or Equivalent,1,40000,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Netherlands,
boston,Pharma,,Public,1000-5000,Associate Director,Bachelors or Equivalent,7,192000,48000,95000,,,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
new york,Pharma,Pfizer,Public,5000+,Associate Scientist,Bachelors or Equivalent,0,69000,Not Applicable/None,Not Applicable/None,5000,10000,,,2022,,,,,,,,,,,,,,,,,New York,New York
la,Pharma,Amgen,Public,5000+,Scientist,PhD or Equivalent,2,140000,16800,10000,25000,60000,,,2022,,,,,,,,,,,,,,,,,Los Angeles,California
central maine,Pharma,Eli Lilly and Co,Public,5000+,Senior TS/MS Scientist - Upstream Processes,Masters or Equivalent,3,80800,10%,Not Applicable/None,5000,13000,,,2022,,,,,,,,,,,,,,,,,Central Maine,
boston,Pharma,,Start-up,50-200,Associate Scientist ,Masters or Equivalent,11,113000,10,20000,,,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
boston,Pharma,,Public,50-200,Sr. Research Associate,Bachelors or Equivalent,3,89000,8900,Not Applicable/None,7000,,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
ohio,Pharma,,Public,200-1000,Scientist II,PhD or Equivalent,3,115000,"17,000",Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Ohio,
ohio,Pharma,,Public,200-1000,Scientist II,PhD or Equivalent,3,115000,"17,000",Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Ohio,
"salt lake city, ut",Pharma,BIOMERIEUX ,Public,5000+,Associate Scientist,Bachelors or Equivalent,1,28.37,2360,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Salt Lake City,
los angeles,Pharma,,Public,5000+,Associate Validation Engineer ,Bachelors or Equivalent,0,73100,5600,2000,,,,,2022,,,,,,,,,,,,,,,,,Los Angeles,California
"cambridge, ma",Pharma,,Public,5000+,Research Scientist II,Masters or Equivalent,1,87000,7%,Not Applicable/None,10000,,,,2022,,,,,,,,,,,,,,,,,Cambridge,Massachusetts
pittsburgh,Pharma,,Start-up,Jan-50,Research Scientist ,PhD or Equivalent,3,95000,Not Applicable/None,Not Applicable/None,,15000,,,2022,,,,,,,,,,,,,,,,,Pittsburgh,
rdu,Vendor,Sartorius,Public,1000-5000,Field Application Specialist,Bachelors or Equivalent,8,107000,15000,Not Applicable/None,15000,,,,2022,,,,,,,,,,,,,,,,,Rdu,
bay area,Agriculture/Food,,Start-up,50-200,Research Associate 2,Bachelors or Equivalent,2,100000,Not Applicable/None,"10,000",,,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
bay area,Pharma,,Private,50-200,Production Associate ,Bachelors or Equivalent,3,90000,16000,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
colorado,Academia/Research,,Start-up,Jan-50,Research Associate III,Bachelors or Equivalent,5,63840,Not Applicable/None,Not Applicable/None,,2000,,,2022,,,,,,,,,,,,,,,,,Colorado,
bay area,Pharma,,Private,50-200,Senior Research Associate,Bachelors or Equivalent,5,115000,"17,250",Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
rtp nc,Biotech,,Private,Jan-50,Research Associate ,Masters or Equivalent,1,50000,2500,Not Applicable/None,3000,,,,2022,,,,,,,,,,,,,,,,,Rtp Nc,
"sacramento, ca",Medical Devices,,Subsidiary,Jan-50,Associate Scientist,PhD or Equivalent,1,65000,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Sacramento,
"durham, nc",Agriculture/Food,,Start-up,Jan-50,Scientist,PhD or Equivalent,4,85000,8500,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Durham,North Carolina
"san diego, ca",Medical Devices,Singular Genomics ,Public,50-200,Systems Engineer ,Bachelors or Equivalent,4,115000,10000,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,San Diego,California
new york,Pharma,,Start-up,50-200,Senior Scientist,PhD or Equivalent,6,131000,10000,5000,10000,3000,,,2022,,,,,,,,,,,,,,,,,New York,New York
socal,Pharma,Janssen,Public,5000+,Scientist,PhD or Equivalent,0,121000,14000,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Socal,
bay area,Pharma,,Public,50-200,Research Associate 2,Masters or Equivalent,3,90000,9000,5000,2500,,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
boston,Pharma,,Start-up,50-200,Sr. Research Associate,Masters or Equivalent,2,90000,9000,625,8500,,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
waco,Pharma,AbbVie,Public,5000+,Microbiology Lab Technician 4,Bachelors or Equivalent,3,63771,10%,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Waco,
boston,Pharma,,Private,Jan-50,Scientist II,PhD or Equivalent,3,130000,13000,Not Applicable/None,0,0,,,2022,,,,,,,,,,,,,,,,,Boston,Massachusetts
bay area,Pharma,Gilead,Public,5000+,Clinical Trials Manager,Bachelors or Equivalent,6,160000,19200,8000,,,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
bay area,Biotech Software/SAAS,Dotmatics,Private,200-1000,Product Manager,PhD or Equivalent,4,152000,15000,50k,0,0,,,2022,,,,,,,,,,,,,,,,,San Francisco,California
houston,Pharma,It is a CDMO,Public,200-1000,Scientist I,Masters or Equivalent,6,90000,Not Applicable/None,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Houston,Texas
seattle,Pharma,,Start-up,50-200,Research Associate,Bachelors or Equivalent,3,95000,10%,Not Applicable/None,,,,,2022,,,,,,,,,,,,,,,,,Seattle,Washington
